0,1.24E+18, Day 5 We have rediscovered farming,Thu Mar 19 19:52:20 +0000 2020,-0.147916667
1,1.24E+18, everyone coming out of corona as barista,Thu Mar 19 19:52:23 +0000 2020,-0.35
2,1.24E+18," Close up of President  notes is seen where he crossed out ""Corona"" and replaced it with ""Chinese"" Virus…",Thu Mar 19 19:52:30 +0000 2020,0
3,1.24E+18," Ethiopiaye, what's going on? Staff in cafes refuse to serve ferenjis, professors at the Lycee were attacked with stones. A…",Thu Mar 19 19:53:32 +0000 2020,0
4,1.24E+18," There was a nasty flu that went round in December / early Jan. I’m telling you, that was corona. Bare ppl were sick (includ…",Thu Mar 19 19:56:47 +0000 2020,-0.352857143
6,1.24E+18, Trump’s focus is on blaming China instead of on keeping us safe.,Thu Mar 19 19:58:13 +0000 2020,0.25
7,1.24E+18,Damn i had the flu hella bad last year in October. Whole time i probably had corona🥴 ,Thu Mar 19 19:59:00 +0000 2020,0
8,1.24E+18,Student at my uni are currently getting tested for corona virus. I've had indirect contact with them and I now have a cough.... Oh boy,Thu Mar 19 20:00:20 +0000 2020,0
9,1.24E+18," Deflection. Classic deflection. Let’s not take the bait and stay focused on testing, mitigation, and support of our frontlin…",Thu Mar 19 20:02:36 +0000 2020,0.166666667
10,1.24E+18," Close up of President  notes is seen where he crossed out ""Corona"" and replaced it with ""Chinese"" Virus…",Thu Mar 19 20:03:51 +0000 2020,0
11,1.24E+18,"I'm perplexed by commentary around the time we are meant to be luxuriating in thanks to corona. I am working and have kids. The support I rely on to manage has been (understandably) withdrawn. Activities, family help etc. My energy is a flattened curve. Are others struggling?",Thu Mar 19 20:03:58 +0000 2020,0.3
12,1.24E+18, this incompetent racist asshole,Thu Mar 19 20:04:53 +0000 2020,-0.35
13,1.24E+18,  yea u should be 😒,Thu Mar 19 20:05:13 +0000 2020,0
14,1.24E+18," Close up of President  notes is seen where he crossed out ""Corona"" and replaced it with ""Chinese"" Virus…",Thu Mar 19 20:05:29 +0000 2020,0
16,1.24E+18, Legend.,Thu Mar 19 20:07:38 +0000 2020,-0.025
17,1.24E+18, Hell of a basketball player and One of the best guys/mentors I know.  is the definition of a Red Raider. 3…,Thu Mar 19 20:08:17 +0000 2020,0
18,1.24E+18,@ The post corona turn up is going to hit different. People will be so joyous. Mandem might even allow a couple dead joints on t…,Thu Mar 19 20:08:32 +0000 2020,-0.1
19,1.24E+18, When is Mr President addresing the country at this corona time. Or is he not aware of it.,Thu Mar 19 20:09:07 +0000 2020,-0.125
20,1.24E+18," Close up of President  notes is seen where he crossed out ""Corona"" and replaced it with ""Chinese"" Virus…",Thu Mar 19 20:09:59 +0000 2020,0.25
21,1.24E+18,6 You ay got corona have ya bro??,Thu Mar 19 20:09:58 +0000 2020,0
22,1.24E+18,Tonight in Morrisons. All empty shelves except for Corona Extra. It's just beer! But It just goes to show the power of language coronaextra ,Thu Mar 19 20:10:57 +0000 2020,0
23,1.24E+18, this incompetent racist asshole,Thu Mar 19 20:12:07 +0000 2020,0.2
25,1.24E+18,this town and flicker first? does he want to kill us before corona?,Thu Mar 19 20:13:21 +0000 2020,0.25
